Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Daniel Gafford,25,2TM,PF,74,66,1815,21.7,0.731,0,0.365,11.4,22.1,16.7,9.1,1.7,7.1,11.7,14.7,5.2,2.5,7.8,0.205,0.7,1.9,2.6,2.1,
2,Grayson Allen,28,PHO,SG,75,74,2513,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2,
3,Obi Toppin,25,IND,PF,82,28,1730,16.5,0.677,0.437,0.173,5.6,15.4,10.5,9.4,1.3,2,10,16.8,3.6,1.1,4.8,0.132,1.8,-0.3,1.5,1.5,
4,Moritz Wagner,26,ORL,C,80,1,1415,20.6,0.676,0.208,0.37,9.6,19.3,14.4,11.2,1.4,1.4,13.1,22.8,3.5,2,5.6,0.188,1.7,0.3,2,1.4,
5,Rudy Gobert,31,MIN,C,76,76,2593,19.3,0.675,0.005,0.635,13.1,29.2,21.5,5.6,1,5.5,13.1,15.4,5.8,5.8,11.6,0.216,0.1,1.7,1.8,2.5,DPOY-1
6,Ivica Zubac,26,LAC,C,68,68,1794,19.3,0.671,0,0.32,12.8,26.2,19.7,7.5,0.6,4.2,11.8,16.4,4.5,2.3,6.8,0.182,0.8,0,0.8,1.3,
7,Jarrett Allen,25,CLE,C,77,77,2442,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3,3.1,DPOY-10
8,Kelly Olynyk,32,2TM,C,78,27,1759,17.4,0.661,0.312,0.362,6.7,19,12.9,27.6,2,1.5,20.9,17.5,3.5,1.4,4.9,0.133,0.7,1.1,1.8,1.7,
9,Jalen Duren,20,DET,C,61,60,1777,18.7,0.653,0.007,0.321,11.8,33,22.2,12.7,0.9,2.3,16.7,18.5,3,1.8,4.8,0.13,-0.2,0.1,-0.1,0.9,
10,Nikola Jokić,28,DEN,C,79,79,2737,31,0.65,0.164,0.31,9.3,29.6,19.8,42,2,2.1,12.9,29.3,12,5.1,17,0.299,9,4.2,13.2,10.6,"MVP-1,CPOY-4,AS,NBA1"
11,Giannis Antetokounmpo,29,MIL,PF,73,73,2567,29.9,0.649,0.091,0.571,8.6,27,17.9,32.7,1.6,2.6,12.7,33,9.5,3.7,13.2,0.246,6.7,2.4,9,7.2,"MVP-4,DPOY-9,CPOY-12,AS,NBA1"
12,Kristaps Porziņģis,28,BOS,C,57,57,1690,23.2,0.647,0.39,0.402,6.5,19.1,13.1,10,1.2,5.8,9.1,25.1,4.9,3,7.9,0.226,3.5,1.6,5.1,3,
13,Joel Embiid,29,PHI,C,39,39,1309,34.1,0.644,0.163,0.531,7.9,28.8,18.1,32.4,1.7,4.6,12.5,39.6,5.2,2.3,7.5,0.275,8.5,3.1,11.6,4.5,AS
14,Domantas Sabonis,27,SAC,C,82,82,2928,23.2,0.637,0.081,0.389,11,32.3,21.4,33.9,1.2,1.5,17.9,22.2,8.6,4,12.6,0.206,4,2.4,6.5,6.2,"MVP-8,DPOY-10,NBA3"
15,Herbert Jones,25,NOP,SF,76,76,2321,13.2,0.636,0.464,0.269,3.6,9.4,6.5,11.3,2.2,2.6,12.4,14.1,3.3,3,6.3,0.131,-0.9,1.5,0.6,1.6,DPOY-5
16,Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,29.3,0.636,0.181,0.436,3,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9,7.1,"MVP-2,DPOY-7,CPOY-3,AS,NBA1"
17,Chet Holmgren,21,OKC,C,82,82,2413,20.4,0.632,0.366,0.289,6.2,23.1,15,11.6,1.1,7.3,10.9,21.6,4.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3,ROY-2
18,Lauri Markkanen,26,UTA,PF,55,55,1820,21.5,0.631,0.493,0.311,7.4,19.6,13.6,9.5,1.3,1.3,7.1,25,5.2,0.9,6.2,0.163,5.1,-1.5,3.6,2.6,
19,Aaron Nesmith,24,IND,SF,72,47,1995,12.8,0.631,0.526,0.216,3.6,12,7.8,6.6,1.5,2,8.4,16,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8,
20,LeBron James,39,LAL,PF,71,71,2504,23.7,0.63,0.286,0.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,0.164,5.5,0.9,6.5,5.4,"CPOY-10,AS,NBA3"
21,Nic Claxton,24,BRK,C,71,71,2116,18.7,0.629,0.009,0.337,9.7,27.3,18.2,10.4,1.1,6.2,12.2,15.6,3.5,3.2,6.7,0.152,-0.3,1.5,1.2,1.7,
22,Sam Hauser,26,BOS,SF,79,13,1741,13,0.629,0.833,0.034,2.9,13.7,8.6,6.2,1.1,1.3,5.3,15,2.7,2.1,4.9,0.134,1.2,0,1.2,1.4,
23,Rui Hachimura,25,LAL,PF,68,39,1826,15,0.628,0.343,0.198,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,2.7,1.5,4.1,0.108,0,-0.9,-0.9,0.5,
24,Mike Conley,36,MIN,PG,76,76,2193,15.8,0.627,0.629,0.174,2,9,5.6,28.4,2,0.7,12.8,16,5,3.3,8.2,0.18,2,1.4,3.4,3,
25,Kevin Durant,35,PHO,PF,75,75,2791,21.2,0.626,0.283,0.295,1.7,17.5,10,22.2,1.2,2.9,13.1,29,5.1,3.2,8.3,0.142,4,0.1,4,4.3,"MVP-9,AS,NBA2"
26,Kawhi Leonard,32,LAC,SF,68,68,2330,23.2,0.626,0.289,0.246,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,6,2.9,8.9,0.184,4.8,0.6,5.5,4.4,"AS,NBA2"
27,Jimmy Butler,34,MIA,PF,60,60,2042,22,0.626,0.183,0.579,5.8,11.9,8.8,23.1,1.9,0.8,9.3,24,6.4,2.7,9.1,0.214,3.9,0.7,4.6,3.4,
28,Myles Turner,27,IND,C,77,77,2076,19.3,0.626,0.356,0.349,6.2,22.9,14.5,6.4,0.9,5.5,9.4,23.4,3.6,2.2,5.8,0.134,1,-0.1,0.9,1.5,
29,Isaiah Joe,24,OKC,SG,78,1,1445,13.4,0.626,0.728,0.107,2.6,11,6.9,8.9,1.5,1.4,8.5,16.6,1.9,1.6,3.5,0.116,1.1,-0.3,0.9,1,
30,Norman Powell,30,LAC,SG,76,3,1990,13.9,0.626,0.5,0.224,0.9,9.8,5.5,5.9,1.1,1,7.3,20,2.8,1.3,4.1,0.099,0.4,-1.2,-0.8,0.6,6MOY-4
31,Evan Mobley,22,CLE,PF,50,50,1532,20.1,0.626,0.107,0.31,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,2.8,2.7,5.5,0.174,0.9,2,2.9,1.9,
32,Karl-Anthony Towns,28,MIN,PF,62,62,2026,18.8,0.625,0.344,0.307,5.5,22.6,14.4,15.1,1,1.8,14.1,27.4,2.6,3.6,6.3,0.148,1.6,0.9,2.5,2.3,AS
33,Jalen Williams,22,OKC,PF,71,71,2223,19.1,0.621,0.243,0.223,1.9,11.8,7.1,21.3,1.7,1.9,10.1,23.7,4.5,2.7,7.3,0.157,2,0.3,2.3,2.4,CPOY-12
34,Anthony Davis,30,LAL,C,76,76,2700,25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9,"DPOY-4,AS,NBA2"
35,John Collins,26,UTA,PF,68,66,1901,17.5,0.621,0.311,0.248,9.2,24,16.7,6.1,1,2.9,10.6,20.4,3.1,1.3,4.4,0.11,0.5,-1.4,-0.9,0.5,
36,Corey Kispert,24,WAS,SF,80,22,2067,12.8,0.62,0.605,0.198,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,1.7,0.4,2.1,0.048,-0.2,-2,-2.1,-0.1,
37,Jonas Valančiūnas,31,NOP,C,82,82,1925,19.8,0.619,0.167,0.285,10.9,30.6,20.9,13.3,0.8,3.5,12.1,20.8,3.9,3.1,7.1,0.177,0.7,0.5,1.2,1.6,
38,Luka Dončić,24,DAL,PG,70,70,2624,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36,8.5,3.5,12,0.22,8.3,1.7,9.9,8,"MVP-3,CPOY-6,AS,NBA1"
39,Stephen Curry,35,GSW,PG,74,74,2421,20.6,0.616,0.606,0.224,1.7,12.9,7.4,24.7,1.1,1,11.7,31.3,5.2,2,7.2,0.142,6.3,-1.1,5.2,4.4,"CPOY-1,AS,NBA3"
40,Terance Mann,27,LAC,SG,75,71,1873,12,0.615,0.414,0.193,5.4,9.7,7.7,8.5,1.1,0.7,8.2,13.6,3,1.2,4.2,0.106,-0.8,-0.7,-1.5,0.2,
41,Austin Reaves,25,LAL,SG,82,57,2629,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2,5.9,0.108,0.9,-0.4,0.4,1.6,
42,Alex Caruso,29,CHI,SG,71,57,2040,14.5,0.613,0.616,0.177,3.3,11.8,7.5,16.4,2.9,3.5,14.9,14.7,2.3,2.6,4.9,0.115,0.2,2.3,2.5,2.3,DPOY-10
43,Paul George,33,LAC,PF,74,74,2502,19.3,0.613,0.476,0.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,4.4,2.8,7.3,0.14,2.9,0.2,3.2,3.3,AS
44,Trey Murphy III,23,NOP,SF,57,23,1690,16.3,0.612,0.717,0.243,2.8,15.5,9.2,10.2,1.5,1.6,4.7,18.6,3.4,2,5.4,0.154,2.5,0,2.5,1.9,
45,James Harden,34,LAC,PG,72,72,2470,18.6,0.612,0.594,0.418,1.6,14.8,8.4,33.6,1.5,2.1,16,20.6,5.9,2.5,8.4,0.163,3.8,0.3,4.1,3.8,
46,Duncan Robinson,29,MIA,SF,68,36,1905,12.2,0.612,0.701,0.133,0.9,9.5,5.1,15.1,1.2,0.8,11.7,19,1.6,2,3.6,0.091,-0.5,-0.4,-0.9,0.6,
47,Devin Booker,27,PHO,PG,68,68,2447,21.9,0.611,0.32,0.35,2.7,11.1,7.1,31.2,1.2,1,10.6,29.8,7.2,2,9.2,0.181,4,-1,3,3.1,"AS,NBA3"
48,Harrison Barnes,31,SAC,PF,82,82,2381,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1,
49,Derrick White,29,BOS,SG,73,73,2381,16.9,0.611,0.59,0.181,2.4,11.3,7,21.2,1.5,3.2,11,18.6,5.2,3.3,8.5,0.171,2.4,1.4,3.8,3.5,DPOY-8
50,Zion Williamson,23,NOP,PF,70,70,2207,22.8,0.61,0.016,0.452,6.2,14.2,10.2,26.5,1.7,2.1,12.8,29.7,4.7,2.8,7.5,0.164,3.3,0.6,3.8,3.3,
51,Brook Lopez,35,MIL,C,79,79,2411,14.8,0.608,0.535,0.177,5.4,13,9.3,7.1,0.9,6.7,8.8,16,3.1,2.8,5.9,0.117,0.2,0.8,1,1.8,
52,Kyrie Irving,31,DAL,SG,58,58,2030,21.9,0.608,0.372,0.186,2.4,13.2,7.8,23.8,1.7,1.2,8,28.1,4.9,2,6.9,0.163,4.8,0.1,4.9,3.6,CPOY-7
53,Collin Sexton,25,UTA,SG,78,51,2075,19.9,0.607,0.313,0.356,3.8,7.1,5.4,29.5,1.4,0.8,12.1,27.5,5.2,0.3,5.5,0.127,3.8,-1.9,1.9,2,
54,Bradley Beal,30,PHO,SG,53,53,1767,16.3,0.607,0.32,0.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,2.4,1.5,3.9,0.107,0.9,-0.6,0.4,1.1,
55,Aaron Gordon,28,DEN,PF,73,73,2297,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,
56,Tyrese Haliburton,23,IND,PG,69,68,2224,23.3,0.605,0.51,0.217,1.8,12,6.9,44.9,1.8,1.7,12.2,24.6,7.6,1.5,9,0.195,7.3,-0.4,6.9,5,"AS,NBA3"
