Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Oklahoma City Thunder,24.7,44,10,45,9,12.93,-0.18,12.74,118.3,105.4,12.9,99.6,0.212,0.419,0.583,,0.55,10.6,24.6,0.174,,0.505,15.8,73.8,0.22,,Paycom Center,"500,771","17,244"
2,Cleveland Cavaliers,26.8,44,10,42,12,10.76,-1.07,9.69,122.5,111.8,10.7,100.1,0.232,0.456,0.616,,0.587,11.6,24.6,0.183,,0.53,12.9,75.5,0.182,,Rocket Arena,"563,528","19,432"
3,Boston Celtics,28.9,39,16,42,13,9.07,-0.61,8.46,119.7,110.5,9.2,97,0.226,0.534,0.589,,0.558,10.6,24.2,0.179,,0.521,11.9,76.6,0.163,,TD Garden,"498,056","18,447"
4,Memphis Grizzlies,24.8,36,18,38,16,7.5,-0.69,6.81,118.3,111.1,7.2,104.2,0.261,0.402,0.593,,0.561,13.8,29.9,0.2,,0.525,13.3,74.3,0.202,,FedEx Forum,"444,636","16,468"
5,New York Knicks,27.5,36,18,36,18,5.94,-1.12,4.83,121.1,115,6.1,97.2,0.243,0.382,0.601,,0.568,11.8,26.4,0.196,,0.55,12.7,74.8,0.175,,Madison Square Garden (IV),"574,548","19,812"
6,Denver Nuggets,26.9,36,19,36,19,5.67,-0.38,5.29,120.4,114.8,5.6,100.1,0.258,0.347,0.607,,0.575,12.4,26.8,0.201,,0.537,11.6,74.6,0.169,,Ball Arena,"533,546","19,761"
7,Houston Rockets,24.8,34,21,34,21,4.09,0.87,4.96,113.8,109.7,4.1,98.5,0.251,0.381,0.545,,0.511,11.8,31.5,0.188,,0.523,13.3,75.4,0.191,,Toyota Center,"451,506","17,366"
8,Minnesota Timberwolves,27.4,31,25,34,22,3.41,0.66,4.07,114.3,110.8,3.5,97.2,0.246,0.454,0.58,,0.546,13.6,26,0.194,,0.527,13.2,75,0.176,,Target Center,"550,362","18,978"
9,Los Angeles Clippers,29.2,31,23,32,22,2.94,0.12,3.06,112.4,109.4,3,98.2,0.248,0.391,0.578,,0.542,14.2,24.8,0.198,,0.533,14.1,76.9,0.188,,Intuit Dome,"465,287","16,044"
10,Dallas Mavericks,27.6,30,26,32,24,2.21,0.76,2.98,116.6,114.3,2.3,98.9,0.263,0.398,0.587,,0.553,12.6,25.4,0.204,,0.53,11.8,73.1,0.181,,American Airlines Center,"562,353","20,084"
