PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Giannis Antetokounmpo,MIL,30,27,14,13,35.2,32.3,12.7,21.2,60.1,0.1,0.7,21.1,6.7,11.1,60.5,2.0,9.6,11.6,5.9,3.4,0.8,1.5,2.4,58.7,23.0,3.0
2,Nikola Jokić,DEN,29,31,19,12,37.1,31.5,12.0,21.7,55.3,2.3,4.8,47.3,5.2,6.5,80.6,3.5,9.5,13.0,9.7,3.3,1.7,0.6,2.1,65.4,25.0,14.0
3,Shai Gilgeous-Alexander,OKC,26,35,30,5,34.6,31.3,11.0,21.1,52.4,2.2,6.0,36.0,7.1,7.9,88.8,0.9,4.7,5.6,6.1,2.6,2.0,1.1,2.1,53.9,3.0,0.0
4,LaMelo Ball,CHA,23,23,6,17,33.7,29.8,10.3,24.4,42.2,4.4,12.9,34.3,4.8,5.7,84.0,0.9,4.3,5.2,7.3,4.0,1.3,0.2,3.7,47.4,6.0,0.0
5,Paolo Banchero,ORL,22,5,3,2,36.4,29.0,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,50.0,2.0,0.0
6,Luka Dončić,DAL,25,22,13,9,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2.0,0.4,2.6,53.7,10.0,3.0
7,Jayson Tatum,BOS,26,33,24,9,36.4,28.1,9.3,20.1,46.2,3.9,10.5,36.9,5.6,7.1,79.8,0.6,8.8,9.4,5.5,2.7,1.3,0.4,2.4,50.1,17.0,1.0
8,Kevin Durant,PHX,36,23,14,9,36.1,27.6,9.7,18.9,51.6,2.3,5.7,40.9,5.8,6.9,84.2,0.5,6.1,6.6,4.0,3.4,0.7,1.3,1.7,44.2,3.0,0.0
9,De'Aaron Fox,SAC,27,35,16,19,37.3,26.7,9.9,20.3,48.6,2.0,6.3,32.1,4.9,6.1,80.8,1.1,3.9,4.9,6.2,3.3,1.6,0.3,2.8,44.5,5.0,0.0
10,Anthony Davis,LAL,31,33,19,14,34.9,26.0,9.4,18.0,52.3,0.7,2.2,32.4,6.5,8.2,78.6,2.6,9.2,11.8,3.5,2.3,1.3,2.2,2.0,53.5,25.0,0.0
