Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Shai Gilgeous-Alexander,26,OKC,PG,53,53,34,11.2,21.5,0.523,2.1,5.7,0.359,9.2,15.8,0.583,0.571,7.9,8.8,0.897,0.9,4.2,5.1,6.1,1.9,1,2.5,2.2,32.5,
2,Giannis Antetokounmpo,30,MIL,PF,41,41,34.9,12.7,20.9,0.608,0.1,0.8,0.188,12.6,20.1,0.624,0.611,6.2,10.7,0.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,
3,Nikola Jokić,29,DEN,C,49,49,36,11.3,19.7,0.577,2,4.5,0.45,9.3,15.2,0.615,0.629,5,6.1,0.823,3,9.6,12.6,10.2,1.8,0.7,3.1,2.2,29.8,
4,Tyrese Maxey,24,PHI,PG,46,46,38,9.6,21.5,0.447,3.3,9.6,0.346,6.3,11.9,0.528,0.524,5,5.8,0.872,0.3,3.2,3.5,6.1,1.9,0.4,2.5,2.3,27.6,
5,Anthony Edwards,23,MIN,SG,54,54,36.7,9.1,20.8,0.44,4.2,10.1,0.414,4.9,10.7,0.464,0.54,5,5.9,0.843,0.8,5,5.8,4.5,1.2,0.6,3.5,1.9,27.5,
6,LaMelo Ball,23,CHO,PG,33,33,32.7,9.5,22.8,0.416,4,11.9,0.338,5.5,10.8,0.503,0.505,4.3,5.3,0.822,0.9,4.2,5.1,7.2,1.3,0.3,3.6,3.3,27.3,
7,Kevin Durant,36,PHO,PF,41,41,36.5,10,18.7,0.532,2.4,5.9,0.404,7.6,12.9,0.59,0.595,5.1,6.1,0.825,0.4,5.6,6,4.2,0.9,1.4,3.1,1.8,27.3,
8,Luka Dončić,25,2TM,PG,24,24,34.7,9.5,20.5,0.46,3.3,9.5,0.348,6.2,11.1,0.556,0.541,4.8,6.4,0.753,0.8,7.3,8,7.5,1.9,0.4,3.4,2.8,27,
9,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2,0.4,3.4,2.6,28.1,
10,Luka Dončić,25,LAL,PG,2,2,23.5,5.5,13.5,0.407,2,7.5,0.267,3.5,6,0.583,0.481,2,4,0.5,1,3.5,4.5,4,0.5,0.5,3,4,15,
11,Jayson Tatum,26,BOS,PF,52,52,36.4,9.1,20.1,0.455,3.6,10.2,0.358,5.5,9.9,0.553,0.545,5.1,6.5,0.795,0.6,8.1,8.7,5.6,1.2,0.5,2.8,2.2,27,
12,Devin Booker,28,PHO,SG,48,48,37.2,8.6,18.9,0.453,2.6,7.7,0.339,6,11.2,0.532,0.522,6.4,7.2,0.896,1,3.1,4,6.7,1,0.3,2.7,2.4,26.2,
13,Jalen Brunson,28,NYK,PG,53,53,35.2,9,18.3,0.492,2.3,5.8,0.397,6.7,12.5,0.535,0.555,5.8,7.1,0.816,0.4,2.4,2.8,7.5,0.9,0.1,2.4,2.2,26.1,
14,Damian Lillard,34,MIL,PG,44,44,36.5,8,17.6,0.452,3.5,9.1,0.382,4.5,8.5,0.527,0.55,6.4,6.9,0.921,0.6,4.2,4.7,7.5,1.2,0.2,3,1.8,25.8,
