Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jarrett Allen,26,CLE,C,54,54,1559,22.1,0.725,0.007,0.426,10.4,28,19.5,9.6,1.5,3,11.1,15.6,5.3,2.7,8,0.248,3.1,1.1,4.2,2.5,
2,Daniel Gafford,26,DAL,C,51,28,1115,24.7,0.716,0,0.478,13.9,20,17,10,0.9,7.5,12.2,19.1,4.1,1.5,5.6,0.241,2.7,1.3,4,1.7,
3,Walker Kessler,23,UTA,C,42,42,1276,20.7,0.708,0.021,0.39,16.4,26.1,21.3,7.6,0.9,7.6,16,13.2,3.1,1.3,4.4,0.165,1.5,0.6,2.1,1.3,
4,Jalen Duren,21,DET,C,52,52,1337,20.6,0.707,0,0.407,15.5,28.2,21.9,14.2,1.3,4.3,19.6,15.6,3.5,2.2,5.6,0.203,0.9,1.3,2.2,1.4,
5,Rudy Gobert,32,MIN,C,55,55,1831,16.9,0.676,0,0.547,11.9,22.6,17.3,7.9,1,4.3,14.4,12.3,4.1,3,7.1,0.186,-0.1,1.3,1.2,1.5,
6,Domantas Sabonis,28,SAC,C,52,52,1879,23.4,0.668,0.177,0.33,12.6,32,22.2,25.8,0.8,1.1,16.4,21.5,6.2,2.1,8.3,0.211,4.5,0.8,5.3,3.5,
7,Nikola Jokić,29,DEN,C,49,49,1762,33.4,0.666,0.228,0.312,9.7,27.8,19.2,45.1,2.4,1.6,12.3,30,9.5,2.7,12.2,0.334,10.8,3.5,14.3,7.2,
8,Christian Braun,23,DEN,SG,54,52,1785,15.9,0.66,0.26,0.276,4.6,12,8.5,8.7,1.6,1.5,7.8,15.8,4.1,1.4,5.5,0.148,0.6,-0.5,0.1,1,
9,Cameron Johnson,28,BRK,PF,39,39,1243,18.5,0.652,0.577,0.28,2.9,12.5,7.5,15.9,1.2,1.6,10.1,22.4,2.9,0.9,3.8,0.147,4.1,-0.4,3.7,1.8,
10,Obi Toppin,26,IND,PF,50,0,970,18.1,0.644,0.48,0.198,4.3,19.3,11.9,11.5,1.6,1.7,8,19.5,2,0.9,2.9,0.144,2,-0.2,1.8,0.9,
