PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Shai Gilgeous-Alexander,OKC,26,40,34,6,34.2,31.6,11.2,21.1,53.1,2.0,5.8,35.2,7.2,8.0,89.7,0.8,4.6,5.4,6.0,2.7,2.0,1.1,2.2,53.8,3.0,0.0
2,Giannis Antetokounmpo,MIL,30,34,20,14,34.8,31.4,12.5,20.9,60.1,0.1,0.8,15.4,6.2,10.6,58.7,2.2,9.7,11.9,6.0,3.6,0.8,1.4,2.4,57.7,30.0,5.0
3,Nikola Jokić,DEN,29,35,23,12,36.8,30.4,11.6,20.7,55.8,2.1,4.5,47.1,5.2,6.4,80.4,3.5,9.7,13.1,9.9,3.1,1.8,0.5,2.1,64.9,29.0,17.0
4,LaMelo Ball,CHA,23,27,9,18,34.1,29.5,10.2,24.2,42.2,4.3,12.9,33.0,4.8,5.7,83.8,1.0,4.3,5.3,7.5,3.9,1.4,0.3,3.6,48.4,8.0,0.0
5,Luka Dončić,DAL,25,22,13,9,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2.0,0.4,2.6,53.7,10.0,3.0
6,Jayson Tatum,BOS,26,39,27,12,36.5,27.7,9.3,20.2,45.9,3.7,10.3,35.8,5.5,6.9,79.9,0.6,8.6,9.3,5.4,2.8,1.3,0.5,2.4,49.5,20.0,1.0
7,Kevin Durant,PHX,36,31,20,11,36.2,27.4,9.9,18.9,52.1,2.1,5.7,37.3,5.5,6.7,82.2,0.5,6.0,6.4,4.2,3.2,0.8,1.4,1.7,44.7,3.0,0.0
8,Paolo Banchero,ORL,22,9,4,5,32.3,26.9,8.9,18.4,48.2,2.1,5.7,37.3,7.0,10.2,68.5,1.6,6.0,7.6,4.8,3.2,0.6,0.8,2.1,43.9,2.0,0.0
9,De'Aaron Fox,SAC,27,38,18,20,37.2,26.3,9.7,20.2,48.2,2.1,6.3,32.8,4.8,5.9,81.2,1.1,4.0,5.2,6.1,3.3,1.6,0.4,2.7,44.4,6.0,0.0
10,Anthony Edwards,MIN,23,41,22,19,36.6,26.1,9.0,20.2,44.5,4.3,10.0,42.9,3.8,4.6,84.0,0.7,5.2,5.9,4.2,3.4,1.2,0.5,1.9,41.4,2.0,0.0
11,Tyrese Maxey,PHI,24,33,14,19,37.7,26.1,8.9,21.2,42.1,3.1,9.4,33.1,5.1,5.9,85.2,0.3,3.2,3.4,5.8,2.5,2.0,0.4,2.3,43.5,6.0,1.0
12,Jalen Brunson,NYK,28,42,26,16,35.2,26.0,8.9,18.4,48.4,2.3,6.0,38.9,5.8,7.0,82.8,0.5,2.5,3.0,7.4,2.4,0.9,0.0,2.2,41.1,8.0,0.0
